trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
56,0,56,0,112.82851970000775,,112.80200210001203,5,112.82851970000775,112.82851970000775,0.01102379999065306,115.14766860000964,[-0.04],[-0.058333333333333334],[1],[0],[0],[2.3347795000008773],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
57,0,57,0,115.1772256000113,,115.1497803000093,5,115.1772256000113,115.1772256000113,0.010140500002307817,116.53031020000344,[-0.005],[0.27166666666666667],[1],[0],[0],[1.3704280000092695],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
58,0,58,0,116.57720240000344,,116.53238400000555,10,116.57720240000344,116.57720240000344,0.019230999998399056,118.21416030000546,[-0.3516666666666667],[0.095],[1],[0],[0],[1.662622999996529],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
59,0,59,0,118.24384020001162,,118.21622450000723,5,118.24384020001162,118.24384020001162,0.009844900007010438,119.43246140000701,[0.31333333333333335],[-0.016666666666666666],[1],[0],[0],[1.2064503000001423],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
60,0,60,0,119.47766810000758,,119.43452920000709,10,119.47766810000758,119.47766810000758,0.020646000004489906,121.01403050000954,[0.29],[0.23],[1],[0],[0],[1.558931699997629],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
61,0,61,0,121.04325390000304,,121.01612170001317,5,121.04325390000304,121.04325390000304,0.009947500002454035,122.39879780000774,[0.395],[0.13666666666666666],[1],[0],[0],[1.3728045000025304],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
62,0,62,0,122.42655630000809,,122.40086420001171,5,122.42655630000809,122.42655630000809,0.011232799995923415,124.14587120000215,[-0.2683333333333333],[-0.025],[1],[0],[0],[1.733855999991647],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
63,0,63,0,124.17622490000213,,124.1479388000007,5,124.17622490000213,124.17622490000213,0.010405000008177012,125.7802922000119,[-0.23],[-0.2916666666666667],[1],[0],[0],[1.6219599999894854],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
64,0,64,0,125.80949560001318,,125.78238230000716,5,125.80949560001318,125.80949560001318,0.009779900006833486,127.18044670000381,[-0.37],[0.056666666666666664],[1],[0],[0],[1.3882916000002297],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
65,0,65,0,127.22544730000664,,127.18249810000998,10,127.22544730000664,127.22544730000664,0.019476799992844462,129.2477312000119,[-0.07166666666666667],[-0.03],[1],[0],[0],[2.045818099999451],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
